,email_id,entity,type,entity_clean
0,29.txt,Gary Vaynerchuk,PERSON,GARY VAYNERCHUK
1,29.txt,the Wine Library,ORG,THE WINE LIBRARY
2,29.txt,Cafe Brand,ORG,CAFE BRAND
3,29.txt,Jersey City,GPE,JERSEY CITY
4,29.txt,Seth Coburn,PERSON,SETH COBURN
5,29.txt,Nori Tuna,PERSON,NORI TUNA
6,29.txt,Fedway Associates,ORG,FEDWAY ASSOCIATES
7,29.txt,Californian & French,ORG,CALIFORNIAN & FRENCH
8,29.txt,Stonegate,GPE,STONEGATE
9,29.txt,Rene Renou,PERSON,RENE RENOU
10,29.txt,Bonnezeaux Trie de Vendanges,PERSON,BONNEZEAUX TRIE DE VENDANGES
11,29.txt,Jersey City,GPE,JERSEY CITY
12,29.txt,Downtown Jersey City,GPE,DOWNTOWN JERSEY CITY
13,29.txt,Jersey Ave,ORG,JERSEY AVE
14,29.txt,Wine Library Catalog,ORG,WINE LIBRARY CATALOG
15,29.txt,Wine Library,ORG,WINE LIBRARY
16,15.txt,Ted,PERSON,TED
17,15.txt,John,PERSON,JOHN
18,15.txt,Louise,PERSON,LOUISE
19,15.txt,Bland Jr.,PERSON,BLAND JR.
20,15.txt,"Ted C.  
",PERSON,TED C.
21,15.txt,Causey,GPE,CAUSEY
22,15.txt,Richard,PERSON,RICHARD
23,15.txt,Rick,PERSON,RICK
24,15.txt,Glisan,PERSON,GLISAN
25,15.txt,Ben,PERSON,BEN
26,15.txt,McCarty,PERSON,MCCARTY
27,15.txt,Danny,PERSON,DANNY
28,15.txt,Piper,PERSON,PIPER
29,15.txt,Greg,PERSON,GREG
30,15.txt,Beck,PERSON,BECK
31,15.txt,Sally,PERSON,SALLY
32,15.txt,Lavorato,PERSON,LAVORATO
33,15.txt,John,PERSON,JOHN
34,15.txt,Louise,PERSON,LOUISE
35,15.txt,Dietrich,PERSON,DIETRICH
36,15.txt,Janet,PERSON,JANET
37,15.txt,Bowen Jr.,PERSON,BOWEN JR.
38,15.txt,Raymond,PERSON,RAYMOND
39,15.txt,Mcconnell,PERSON,MCCONNELL
40,15.txt,Mike,PERSON,MIKE
41,15.txt,Jeffrey A.,PERSON,JEFFREY A.
42,15.txt,Fallon,PERSON,FALLON
43,15.txt,"Jim
Cc:",ORG,JIM CC:
44,15.txt,Oxley,ORG,OXLEY
45,15.txt,David,PERSON,DAVID
46,15.txt,Olson,PERSON,OLSON
47,15.txt,Cindy,PERSON,CINDY
48,15.txt,Pieper,PERSON,PIEPER
49,15.txt,Kalen,PERSON,KALEN
50,15.txt,Barnard,PERSON,BARNARD
51,15.txt,Marla,ORG,MARLA
52,15.txt,Lemmons Jr.,PERSON,LEMMONS JR.
53,15.txt,Billy,PERSON,BILLY
54,15.txt,Davies,PERSON,DAVIES
55,15.txt,Neil,PERSON,NEIL
56,15.txt,Jones,PERSON,JONES
57,15.txt,the AA Program's,ORG,THE AA PROGRAM'S
58,15.txt,Enron,ORG,ENRON
59,15.txt,Enron,ORG,ENRON
60,15.txt,Ted,PERSON,TED
61,14.txt,el,GPE,EL
62,14.txt,NYMEX,ORG,NYMEX
63,14.txt,EFP,ORG,EFP
64,14.txt,Frank,PERSON,FRANK
65,28.txt,John,PERSON,JOHN
66,28.txt,US Gas Swap Nymex,ORG,US GAS SWAP NYMEX
67,28.txt,USD/MM-L,ORG,USD/MM-L
68,28.txt,US Gas Swap,ORG,US GAS SWAP
69,28.txt,USD/MM-L,ORG,USD/MM-L
70,28.txt,"Cindy Kisling
",PERSON,CINDY KISLING
71,16.txt,Q2,ORG,Q2
72,16.txt,SF,ORG,SF
73,17.txt,John,PERSON,JOHN
74,17.txt,Kevin Presto,PERSON,KEVIN PRESTO
