,email_id,entity,type,entity_clean
0,289.txt,John Arnold/HOU,PERSON,JOHN ARNOLD/HOU
1,289.txt,"Matthew Arnold

",PERSON,MATTHEW ARNOLD
2,289.txt,John Arnold/HOU,PERSON,JOHN ARNOLD/HOU
3,289.txt,Tom Mcquade/HOU,PERSON,TOM MCQUADE/HOU
4,289.txt,wv,GPE,WV
5,289.txt,Matthew Arnold/HOU,PERSON,MATTHEW ARNOLD/HOU
6,289.txt,Jonathon Pielop,PERSON,JONATHON PIELOP
7,289.txt,Mo Bawa/HOU,PERSON,MO BAWA/HOU
8,289.txt,Matthew Arnold/HOU,PERSON,MATTHEW ARNOLD/HOU
9,289.txt,"Brian 
O'Rourke/HOU",PERSON,BRIAN O'ROURKE/HOU
10,276.txt,BNP PARIBAS Weekly,ORG,BNP PARIBAS WEEKLY
11,276.txt,"5yr AVG           -212

",ORG,5YR AVG -212
12,276.txt,ci-apres,PERSON,CI-APRES
13,276.txt,recevez ce message par erreur,ORG,RECEVEZ CE MESSAGE PAR ERREUR
14,276.txt,totale ou partielle,ORG,TOTALE OU PARTIELLE
15,276.txt,BNP PARIBAS,ORG,BNP PARIBAS
16,276.txt,dans l'hypothese ou il aurait ete modifie,ORG,DANS L'HYPOTHESE OU IL AURAIT ETE MODIFIE
17,276.txt,BNP PARIBAS,ORG,BNP PARIBAS
18,510.txt,Jennifer Fraser,PERSON,JENNIFER FRASER
19,510.txt,John Arnold/HOU,PERSON,JOHN ARNOLD/HOU
20,510.txt,Jen Fraser,PERSON,JEN FRASER
21,510.txt,Enron Global Markets Fundamentals,ORG,ENRON GLOBAL MARKETS FUNDAMENTALS
22,538.txt,Mike,PERSON,MIKE
23,538.txt,Fidelity,ORG,FIDELITY
24,538.txt,Fidelity,ORG,FIDELITY
25,538.txt,Paine Webber,ORG,PAINE WEBBER
26,538.txt,John,PERSON,JOHN
27,921.txt,John Arnold/HOU,PERSON,JOHN ARNOLD/HOU
28,921.txt,Beth Miertschin                           ,PERSON,BETH MIERTSCHIN
29,921.txt,Patel,PERSON,PATEL
30,921.txt,Sheetal Patel/HOU,PERSON,SHEETAL PATEL/HOU
31,921.txt,"Beau 
Ratliff/HOU",PERSON,BEAU RATLIFF/HOU
32,921.txt,Jennifer Reside/HOU,PERSON,JENNIFER RESIDE/HOU
33,921.txt,Justin Rostant/HOU,PERSON,JUSTIN ROSTANT/HOU
