,email_id,entity,type,entity_clean
0,289.txt,the Top of Stack,PERSON,THE TOP OF STACK
1,262.txt,Enron Wellness,ORG,ENRON WELLNESS
2,262.txt,the M. D. Anderson Blood Center,ORG,THE M. D. ANDERSON BLOOD CENTER
3,262.txt,the Enron Health Center at Ext,ORG,THE ENRON HEALTH CENTER AT EXT
4,262.txt,Enron,ORG,ENRON
5,262.txt,"M. D. Anderson 
	Cancer Center Enron",PERSON,M. D. ANDERSON CANCER CENTER ENRON
6,262.txt,Houston,GPE,HOUSTON
7,276.txt,Exchange,ORG,EXCHANGE
8,276.txt,Outlook,PERSON,OUTLOOK
9,276.txt,OWA,ORG,OWA
10,276.txt,Outlook Web Access,ORG,OUTLOOK WEB ACCESS
11,29.txt,UBS,ORG,UBS
12,29.txt,Immigration Counsel,ORG,IMMIGRATION COUNSEL
13,29.txt,Kumar Kuman,PERSON,KUMAR KUMAN
14,29.txt,Tindall & Foster,ORG,TINDALL & FOSTER
15,29.txt,Enron,ORG,ENRON
16,29.txt,Legal Immigration Counsel,ORG,LEGAL IMMIGRATION COUNSEL
17,29.txt,Tindall & Foster,ORG,TINDALL & FOSTER
18,29.txt,UBS Immigration  Counsel,ORG,UBS IMMIGRATION COUNSEL
19,15.txt,Kevin Presto,PERSON,KEVIN PRESTO
20,15.txt,Kevin Presto,PERSON,KEVIN PRESTO
21,114.txt,"Enron Corp Business Controls

Operations",ORG,ENRON CORP BUSINESS CONTROLS OPERATIONS
22,114.txt,Enron,ORG,ENRON
23,114.txt,Crisis Management Center,ORG,CRISIS MANAGEMENT CENTER
24,114.txt,Houston,GPE,HOUSTON
25,114.txt,Enron Corp Business Controls,ORG,ENRON CORP BUSINESS CONTROLS
26,114.txt,the Business Controls,ORG,THE BUSINESS CONTROLS
27,114.txt,Business Controls,ORG,BUSINESS CONTROLS
28,114.txt,the United States,GPE,THE UNITED STATES
29,114.txt,Houston,GPE,HOUSTON
30,114.txt,Enron,ORG,ENRON
31,100.txt,Enron,ORG,ENRON
32,128.txt,RWR,ORG,RWR
33,128.txt,August Portfolio Review,ORG,AUGUST PORTFOLIO REVIEW
34,128.txt,Cary,PERSON,CARY
35,128.txt,Peter,PERSON,PETER
36,129.txt,Enron,ORG,ENRON
37,129.txt,Award,ORG,AWARD
38,129.txt,Enron,ORG,ENRON
39,129.txt,Enron,ORG,ENRON
40,129.txt,Excellence,ORG,EXCELLENCE
41,129.txt,Enron,ORG,ENRON
42,129.txt,Enron,ORG,ENRON
43,129.txt,Complete,PERSON,COMPLETE
44,129.txt,Selection Committee,ORG,SELECTION COMMITTEE
45,129.txt,the Office of the Chairman,ORG,THE OFFICE OF THE CHAIRMAN
46,129.txt,Award,ORG,AWARD
47,129.txt,Enron Management Conference,ORG,ENRON MANAGEMENT CONFERENCE
48,129.txt,San Antonio,GPE,SAN ANTONIO
49,129.txt,Texas,GPE,TEXAS
50,129.txt,Enron,ORG,ENRON
51,129.txt,Enron,ORG,ENRON
52,129.txt,Enron,ORG,ENRON
53,101.txt,The Travel Agency,ORG,THE TRAVEL AGENCY
54,101.txt,Park,ORG,PARK
55,115.txt,InterJet.amerexenergy.com,PERSON,INTERJET.AMEREXENERGY.COM
56,115.txt,CDT,ORG,CDT
57,115.txt,SMTP,ORG,SMTP
58,115.txt,InterJet.amerexenergy.com,ORG,INTERJET.AMEREXENERGY.COM
59,115.txt,Angel Martinez,PERSON,ANGEL MARTINEZ
60,115.txt,Mark Gaynor,PERSON,MARK GAYNOR
61,115.txt,Chris Fort Conversations,PERSON,CHRIS FORT CONVERSATIONS
62,115.txt,MIME-Version,ORG,MIME-VERSION
63,115.txt,Microsoft Outlook Express,ORG,MICROSOFT OUTLOOK EXPRESS
64,115.txt,Microsoft,ORG,MICROSOFT
65,14.txt,Ameren,ORG,AMEREN
66,14.txt,AIG,ORG,AIG
67,14.txt,"Occidental
Carolina Power",ORG,OCCIDENTAL CAROLINA POWER
68,14.txt,"Light
Southern Co.",ORG,LIGHT SOUTHERN CO.
69,14.txt,Western Gas Resources,ORG,WESTERN GAS RESOURCES
70,14.txt,Jennifer,PERSON,JENNIFER
71,28.txt,Enron,ORG,ENRON
72,28.txt,Board,ORG,BOARD
73,28.txt,Enron,ORG,ENRON
74,28.txt,Board,ORG,BOARD
75,28.txt,the Creditor Committee,ORG,THE CREDITOR COMMITTEE
76,28.txt,Enron,ORG,ENRON
77,28.txt,Enron,ORG,ENRON
78,28.txt,The Creditor Committee,ORG,THE CREDITOR COMMITTEE
79,28.txt,Enron,ORG,ENRON
80,28.txt,Enron,ORG,ENRON
81,28.txt,Board,ORG,BOARD
82,28.txt,Enron,ORG,ENRON
83,28.txt,Ken Lay,PERSON,KEN LAY
84,277.txt,Ken Rice,PERSON,KEN RICE
85,277.txt,Kevin Hannon,PERSON,KEVIN HANNON
86,277.txt,Enron,ORG,ENRON
87,277.txt,Ken,PERSON,KEN
88,277.txt,Enron Broadband Services,ORG,ENRON BROADBAND SERVICES
89,277.txt,Kevin,PERSON,KEVIN
90,277.txt,Broadband Services,ORG,BROADBAND SERVICES
91,277.txt,Ken,PERSON,KEN
92,277.txt,Kevin,PERSON,KEVIN
93,277.txt,Enron,ORG,ENRON
