,email_id,entity,type,entity_clean
0,289.txt,Lavorato,PERSON,LAVORATO
1,289.txt,"John  
Sent",PERSON,JOHN SENT
2,289.txt,Bradford,GPE,BRADFORD
3,289.txt,William S.,PERSON,WILLIAM S.
4,289.txt,McMahon,PERSON,MCMAHON
5,289.txt,Jeffrey,PERSON,JEFFREY
6,289.txt,Kitchen,PERSON,KITCHEN
7,289.txt,Louise,PERSON,LOUISE
8,289.txt,FW,ORG,FW
9,289.txt,Arnold,PERSON,ARNOLD
10,289.txt,"John  
Sent",PERSON,JOHN SENT
11,289.txt,Lavorato,PERSON,LAVORATO
12,289.txt,"John
Subject",PERSON,JOHN SUBJECT
13,289.txt,fred's,ORG,FRED'S
14,262.txt,Joyner,ORG,JOYNER
15,262.txt,Tamera,PERSON,TAMERA
16,262.txt,Oxley,PERSON,OXLEY
17,262.txt,David,PERSON,DAVID
18,262.txt,Arnold,PERSON,ARNOLD
19,262.txt,"John D
",PERSON,JOHN D
20,262.txt,Arora,GPE,ARORA
21,262.txt,"Robert T
	Belden",PERSON,ROBERT T BELDEN
22,262.txt,Timothy N,PERSON,TIMOTHY N
23,262.txt,Benson,PERSON,BENSON
24,262.txt,Robert C,PERSON,ROBERT C
25,262.txt,Black,GPE,BLACK
26,262.txt,Donald W,PERSON,DONALD W
27,262.txt,Brawner,PERSON,BRAWNER
28,262.txt,"Sandra F
	Calger",PERSON,SANDRA F CALGER
29,262.txt,"Christopher F
	Davies",PERSON,CHRISTOPHER F DAVIES
30,262.txt,Derek J,PERSON,DEREK J
31,262.txt,Davis Jr,PERSON,DAVIS JR
32,262.txt,"Mark D
",PERSON,MARK D
33,262.txt,Frank J,PERSON,FRANK J
34,262.txt,Herndon,GPE,HERNDON
35,262.txt,Rogers,PERSON,ROGERS
36,262.txt,Lagrasta,PERSON,LAGRASTA
37,262.txt,Fred,PERSON,FRED
38,262.txt,Lewis,ORG,LEWIS
39,262.txt,"Andrew H
	Maggi",PERSON,ANDREW H MAGGI
40,262.txt,Michael J,PERSON,MICHAEL J
41,262.txt,Martin,ORG,MARTIN
42,262.txt,Thomas,PERSON,THOMAS
43,262.txt,"Lawrence J
	Milnthorp",PERSON,LAWRENCE J MILNTHORP
44,262.txt,"Phillip Robson
	Motley",PERSON,PHILLIP ROBSON MOTLEY
45,262.txt,"Matthew H
",PERSON,MATTHEW H
46,262.txt,Presto,ORG,PRESTO
47,262.txt,"Kevin M
	Richter",PERSON,KEVIN M RICHTER
48,262.txt,Jeffrey S,PERSON,JEFFREY S
49,262.txt,James E,PERSON,JAMES E
50,262.txt,Shively,GPE,SHIVELY
51,262.txt,Hunter,PERSON,HUNTER
52,262.txt,Storey,GPE,STOREY
53,262.txt,"Geoffrey C
	Sturm",PERSON,GEOFFREY C STURM
54,262.txt,"Fletcher J
	Swerzbin",PERSON,FLETCHER J SWERZBIN
55,262.txt,"Michael J
	Thomas",PERSON,MICHAEL J THOMAS
56,262.txt,Jacob,PERSON,JACOB
57,262.txt,Tycholiz,GPE,TYCHOLIZ
58,262.txt,"Barry
	Zufferli",PERSON,BARRY ZUFFERLI
59,262.txt,"John A

",PERSON,JOHN A
60,262.txt,Tamera M. Joyner,PERSON,TAMERA M. JOYNER
61,29.txt,Rossana,PERSON,ROSSANA
62,15.txt,John,PERSON,JOHN
63,15.txt,Dave,PERSON,DAVE
64,15.txt,Baughman,PERSON,BAUGHMAN
65,15.txt,Dave,PERSON,DAVE
66,15.txt,Boeing,ORG,BOEING
67,15.txt,Lockheed Martin,ORG,LOCKHEED MARTIN
68,15.txt,Glass,PERSON,GLASS
69,15.txt,Baughman,PERSON,BAUGHMAN
70,15.txt,Archer Daniels,ORG,ARCHER DANIELS
71,15.txt,Midland,GPE,MIDLAND
72,15.txt,Luce,ORG,LUCE
73,15.txt,Chris,PERSON,CHRIS
74,15.txt,Calger,ORG,CALGER
75,15.txt,"Christopher F.  
Sent",PERSON,CHRISTOPHER F. SENT
76,15.txt,Lavorato,PERSON,LAVORATO
77,15.txt,"John
Subject",PERSON,JOHN SUBJECT
78,15.txt,US,GPE,US
79,15.txt,Milnthorp,ORG,MILNTHORP
80,15.txt,Janet,PERSON,JANET
81,15.txt,SIC,ORG,SIC
82,15.txt,"Rubber Products Manufacturing
",ORG,RUBBER PRODUCTS MANUFACTURING
83,15.txt,Dave,PERSON,DAVE
84,15.txt,Primary Metals,ORG,PRIMARY METALS
85,15.txt,"Refining 
Grain Processing - Baughman",ORG,REFINING GRAIN PROCESSING - BAUGHMAN
86,15.txt,"Luce
Meat Processing - Luce",ORG,LUCE MEAT PROCESSING - LUCE
87,15.txt,"Baughman
Aerospace Manufacturing - Tycholiz",ORG,BAUGHMAN AEROSPACE MANUFACTURING - TYCHOLIZ
88,15.txt,"Baughman
Heavy Industrial Equipment Manufacturing",ORG,BAUGHMAN HEAVY INDUSTRIAL EQUIPMENT MANUFACTURING
89,15.txt,caterpillar,ORG,CATERPILLAR
90,15.txt,john deere,PERSON,JOHN DEERE
91,15.txt,Glass Manufacturing - Luce,ORG,GLASS MANUFACTURING - LUCE
92,15.txt,Dave,PERSON,DAVE
93,15.txt,Owens Corning,ORG,OWENS CORNING
94,15.txt,Chris,PERSON,CHRIS
95,114.txt,Steve,PERSON,STEVE
96,114.txt,Deborah Fiorito,PERSON,DEBORAH FIORITO
97,114.txt,"Steve Lipin                                                                                     
                    <slipin@brunswick        ",PERSON,STEVE LIPIN <SLIPIN@BRUNSWICK
98,114.txt,Brunswick Group Limited,ORG,BRUNSWICK GROUP LIMITED
99,114.txt,Lincoln,ORG,LINCOLN
100,114.txt,Inn Fields,GPE,INN FIELDS
101,114.txt,London,GPE,LONDON
102,114.txt,England,GPE,ENGLAND
103,114.txt,Dynegy,PERSON,DYNEGY
104,100.txt,Enron Updates,ORG,ENRON UPDATES
105,100.txt,Enron,ORG,ENRON
106,100.txt,Dynegy,GPE,DYNEGY
107,100.txt,Enron,ORG,ENRON
108,316.txt,Fred Lagrasta,PERSON,FRED LAGRASTA
109,316.txt,U.S.,GPE,U.S.
110,316.txt,Texas,GPE,TEXAS
111,316.txt,Mark Whitt,PERSON,MARK WHITT
112,316.txt,Brian Redmond,PERSON,BRIAN REDMOND
113,316.txt,Laura Luce,PERSON,LAURA LUCE
114,316.txt,Central Origination,ORG,CENTRAL ORIGINATION
115,316.txt,Frank Vickers,ORG,FRANK VICKERS
116,316.txt,Mid-Market,ORG,MID-MARKET
117,316.txt,Texas Origination,ORG,TEXAS ORIGINATION
118,316.txt,Barry Tycholiz,PERSON,BARRY TYCHOLIZ
119,316.txt,Brian Redmond,PERSON,BRIAN REDMOND
120,316.txt,Fred,PERSON,FRED
121,316.txt,Laura,PERSON,LAURA
122,316.txt,Frank,PERSON,FRANK
